text,rating,date,useful_votes,producto,text_clean,text_length,year_month
Es bueno. Es lo que esperaba.,5,2024-12-26,0,Samsung A15,es bueno es lo que esperaba,6,2024-12
"Super completo , una belleza ¡¡¡ las fotos son increíbles.",5,2024-11-11,0,Samsung A15,super completo  una belleza  las fotos son increibles,8,2024-11
Muy bueno es recomendable muy cumple toda la funciones q yo necesitaba.,5,2024-09-23,0,Samsung A15,muy bueno es recomendable muy cumple toda la funciones q yo necesitaba,12,2024-09
Excelente 👌 tal como lo imaginaba.,5,2024-09-10,0,Samsung A15,excelente  tal como lo imaginaba,5,2024-09
"Nunca me gustó el samsung solía ver q tenían mucha falla se traba todo y n tiene q ver el ram q tenga y x eso nunca me gustaron tuve un redmi note 8 y era una bala. Pero este la verdad está muy bueno tengo más de 18mil fotos y videos y anda a la perfección no se traba, lo único q n tiene para grabar pantalla y n viene con el cargador ni auricular pero el resto todo muy bien. Me encanta.",5,2025-04-26,0,Samsung A15,nunca me gusto el samsung solia ver q tenian mucha falla se traba todo y n tiene q ver el ram q tenga y x eso nunca me gustaron tuve un redmi note 8 y era una bala pero este la verdad esta muy bueno tengo mas de 18mil fotos y videos y anda a la perfeccion no se traba lo unico q n tiene para grabar pantalla y n viene con el cargador ni auricular pero el resto todo muy bien me encanta,84,2025-04
"Estoy muy satisfecho con el celu, es lo que buscaba precio/calidad y funcionalidad. Muy feliz.",5,2025-04-20,0,Samsung A15,estoy muy satisfecho con el celu es lo que buscaba preciocalidad y funcionalidad muy feliz,15,2025-04
Exelente.,5,2025-04-02,0,Samsung A15,exelente,1,2025-04
"Muy sastifecho anda perfecto,buena calidad gracias recomendable.",5,2025-04-01,0,Samsung A15,muy sastifecho anda perfectobuena calidad gracias recomendable,7,2025-04
Celular muy compacto gran duración de batería buenas fotos relación precio calidad muy conforme.,5,2025-03-30,0,Samsung A15,celular muy compacto gran duracion de bateria buenas fotos relacion precio calidad muy conforme,14,2025-03
Simplemente hermoso.,5,2025-03-28,0,Samsung A15,simplemente hermoso,2,2025-03
"Buena relación precio calidad,ya tiene su funda y protector de pantalla, esperemos dure,buen producto.",5,2025-03-23,0,Samsung A15,buena relacion precio calidadya tiene su funda y protector de pantalla esperemos durebuen producto,14,2025-03
Mi telefono es samsung y voy a regalar el a15 e s lo mejor en tecnologia.,5,2025-03-15,0,Samsung A15,mi telefono es samsung y voy a regalar el a15 e s lo mejor en tecnologia,16,2025-03
"El segundo que encargo, hermoso🤗💖.",5,2025-03-14,0,Samsung A15,el segundo que encargo hermoso,5,2025-03
Excelente equipo. Aunque solo trae cable para cargar. Hay que comprar el cabezal aparte (aproximadamente 20 mil).,5,2025-03-01,0,Samsung A15,excelente equipo aunque solo trae cable para cargar hay que comprar el cabezal aparte aproximadamente 20 mil,17,2025-03
"La cumpleaños quedo feliz ,excelente producto saca muy bonitas fotos ♡.",5,2025-02-26,0,Samsung A15,la cumpleanos quedo feliz excelente producto saca muy bonitas fotos hearts,11,2025-02
Buenísimo 🫶samsung nunca falla.,5,2025-02-18,0,Samsung A15,buenisimo samsung nunca falla,4,2025-02
Excelente supero mis espectativas. Hermoso celular. Vuela.,5,2025-02-15,0,Samsung A15,excelente supero mis espectativas hermoso celular vuela,7,2025-02
Es la marca líder en celulares por ello para el precio que tiene me ha parecido un teléfono realmente excelente.,5,2025-01-23,0,Samsung A15,es la marca lider en celulares por ello para el precio que tiene me ha parecido un telefono realmente excelente,20,2025-01
"Muy bueno, la verdad que si buscan un telefono calidad precio y no son muy exigentes, les va a ir de maravilla. Muy satisfecho.",5,2025-01-14,0,Samsung A15,muy bueno la verdad que si buscan un telefono calidad precio y no son muy exigentes les va a ir de maravilla muy satisfecho,24,2025-01
"Muy bueno, excelente!!.",5,2025-01-08,0,Samsung A15,muy bueno excelente,3,2025-01
Hermoso relación precio calidad vale la pena.,5,2024-12-27,0,Samsung A15,hermoso relacion precio calidad vale la pena,7,2024-12
Exelente producto.,5,2024-12-24,0,Samsung A15,exelente producto,2,2024-12
Se configuró muy rápido y esta re lindo y sobre todo a un buen precio!.,5,2024-12-21,0,Samsung A15,se configuro muy rapido y esta re lindo y sobre todo a un buen precio,15,2024-12
"Ni idea, no probé el celular porque es un regalo de navidad para mi hermanita. Yo uso iphone jajjajaj igual esta re mortal el color lo amé !! es re grande y super lindo, la verdad que veo estos celulares con tremendos colores y me dan ganas de volver a samsung.",5,2024-12-20,0,Samsung A15,ni idea no probe el celular porque es un regalo de navidad para mi hermanita yo uso iphone jajjajaj igual esta re mortal el color lo ame  es re grande y super lindo la verdad que veo estos celulares con tremendos colores y me dan ganas de volver a samsung,50,2024-12
"Recién lo tengo hace una semana, lo estoy descubriendo pero por ahora todo conforme.",5,2024-12-16,0,Samsung A15,recien lo tengo hace una semana lo estoy descubriendo pero por ahora todo conforme,14,2024-12
Es muy bueno.,5,2024-12-09,0,Samsung A15,es muy bueno,3,2024-12
Excelente precio y calidad muy buen producto.,5,2024-11-20,0,Samsung A15,excelente precio y calidad muy buen producto,7,2024-11
Perfecto estado.,5,2024-11-11,0,Samsung A15,perfecto estado,2,2024-11
"Exelente opción en gama media , sobre todo la duración de la batería , la carga rápida y la pantalla !.",5,2024-11-08,0,Samsung A15,exelente opcion en gama media  sobre todo la duracion de la bateria  la carga rapida y la pantalla ,18,2024-11
10 puntos.,5,2024-10-22,0,Samsung A15,10 puntos,2,2024-10
Hermoso!!.,5,2024-10-20,0,Samsung A15,hermoso,1,2024-10
Muy bueno me encantó.,5,2024-10-15,0,Samsung A15,muy bueno me encanto,4,2024-10
Muy bueno el celuuu.,5,2024-10-14,0,Samsung A15,muy bueno el celuuu,4,2024-10
Muy buen celular 👍.,5,2025-04-30,0,Samsung A15,muy buen celular ,3,2025-04
Genial.,5,2025-04-30,0,Samsung A15,genial,1,2025-04
Flama.,5,2025-04-30,0,Samsung A15,flama,1,2025-04
Producto altamente recomendable !!.,5,2025-04-29,0,Samsung A15,producto altamente recomendable ,3,2025-04
Fue para un obsequio. Dijeron que les gustó.,5,2025-04-29,0,Samsung A15,fue para un obsequio dijeron que les gusto,8,2025-04
Excelente ya va una semana corre juegos pesado por el precio excelente producto y cálida en cámara y muy comodo.,5,2025-04-29,0,Samsung A15,excelente ya va una semana corre juegos pesado por el precio excelente producto y calida en camara y muy comodo,20,2025-04
"Excelente,rápido y seguro.",5,2025-04-29,0,Samsung A15,excelenterapido y seguro,3,2025-04
Me gusta el modelo de celular que saco samsung.,5,2025-04-29,0,Samsung A15,me gusta el modelo de celular que saco samsung,9,2025-04
"Es lindo , no se lo duradero que es , porque hace muy poquito que lo compre.",5,2025-04-29,0,Samsung A15,es lindo  no se lo duradero que es  porque hace muy poquito que lo compre,15,2025-04
De diez.,5,2025-04-28,0,Samsung A15,de diez,2,2025-04
"Buenisimo producto. Como es de esperarse de samsung, y el mejor precio para un excelente producto. Recomiendo.",5,2025-04-28,0,Samsung A15,buenisimo producto como es de esperarse de samsung y el mejor precio para un excelente producto recomiendo,17,2025-04
"Por ahora todo bien. Muy rata samsung vendiendo ahora celulares sin cargador, pero el resto todo en orden, está bueno el equipo.",5,2025-04-28,0,Samsung A15,por ahora todo bien muy rata samsung vendiendo ahora celulares sin cargador pero el resto todo en orden esta bueno el equipo,22,2025-04
Es un buen celular con el que se puede grabar videos y que el sonido no sea chilloso a mi me encantó.,5,2025-04-28,0,Samsung A15,es un buen celular con el que se puede grabar videos y que el sonido no sea chilloso a mi me encanto,22,2025-04
100% recomendble. Hermoso producto. Muy buena imagen. Duracion de bateria. Buen sonido. Muchas gracias. !!!.,5,2025-04-28,0,Samsung A15,100 recomendble hermoso producto muy buena imagen duracion de bateria buen sonido muchas gracias ,14,2025-04
"Se lo compramos a mamá para regalar, quedó súper contenta. Precio- calidad 🤭🤞🏻.",5,2025-04-28,0,Samsung A15,se lo compramos a mama para regalar quedo super contenta precio calidad ,12,2025-04
Muy conforme.,5,2025-04-26,0,Samsung A15,muy conforme,2,2025-04
Muy buena calidad.,5,2025-04-26,0,Samsung A15,muy buena calidad,3,2025-04
